      Tamanho      Código                                                                                                                                                                                                                          Descrição
2         4.0         Ano                                                                                                                                                                                                                  Ano de referência
3         1.0   Trimestre                                                                                                                                                                                                            Trimestre de referência
4         2.0          UF                                                                                                                                                                                                               Unidade da Federação
31        2.0     Capital                                                                                                                                                                                                               Município da Capital
58        2.0     RM_RIDE                                                                                                                                                         Região Metropolitana e Região Administrativa Integrada\nde Desenvolvimento
79        9.0         UPA                                                                                                                                                                                               Unidade Primária de Amostragem (UPA)
80        7.0     Estrato                                                                                                                                                                                                                                NaN
81        2.0       V1008                                                                                                                                                                                                     Número de seleção do domicílio
82        2.0       V1014                                                                                                                                                                                                                             Painel
83        1.0       V1016                                                                                                                                                                                                  Número da entrevista no domicílio
84        1.0       V1022                                                                                                                                                                                                              Situação do domicílio
86        1.0       V1023                                                                                                                                                                                                                       Tipo de área
90       15.0       V1027                                                                                                                                                                                                    Peso do domicílio e das pessoas
91       15.0       V1028                                                                                                                                                                                                    Peso do domicílio e das pessoas
92        9.0       V1029                                                                                                                                                                                       Projeção da população por níveis geográficos
93        9.0       V1033                                                                                                                                                                                             Projeção da população por sexo e idade
94        3.0      posest                                                                                                                                                                                                   Domínios de projeção geográficos
95        3.0  posest_sxi                                                                                                                                                                                              Domínios de projeção por sexo e idade
97        2.0       V2001                                                                                                                                                                                                     Número de pessoas no domicílio
98        2.0       V2003                                                                                                                                                                                                                    Número de ordem
99        2.0       V2005                                                                                                                                                                                                              Condição no domicílio
118       1.0       V2007                                                                                                                                                                                                                               Sexo
120       2.0       V2008                                                                                                                                                                                                                  Dia de nascimento
122       2.0      V20081                                                                                                                                                                                                                  Mês de nascimento
124       4.0      V20082                                                                                                                                                                                                                  Ano de nascimento
126       3.0       V2009                                                                                                                                                                                             Idade do morador na data de referência
127       1.0       V2010                                                                                                                                                                                                                        Cor ou raça
134       1.0       V3001                                                                                                                                                                                                           ... sabe ler e escrever?
137       1.0       V3002                                                                                                                                                                                                              ... frequenta escola?
140       1.0      V3002A                                                                                                                                                                                                    A escola que ... frequenta é de
143       2.0       V3003                                                                                                                                                                                                  Qual é o curso que ... frequenta?
153       2.0      V3003A                                                                                                                                                                                                  Qual é o curso que ... frequenta?
165       1.0       V3004                                                                                                                                                                                      A duração deste curso que ... frequenta é de:
168       1.0       V3005                                                                                                                                                                                            Este curso que ... frequenta é seriado?
171       1.0      V3005A                                                                                                                                                                                     Esse curso que .... frequenta é organizado em:
175       2.0       V3006                                                                                                                                                                                     Qual é o ano/série/semestre que ... frequenta?
189       1.0      V3006A                                                                                                                                                                            Qual é a etapa do ensino fundamental que ... frequenta?
192       1.0       V3007                                                                                                                                                                                    ... já concluiu algum outro curso de graduação?
195       1.0       V3008                                                                                                                                                                                               Anteriormente ... frequentou escola?
198       2.0       V3009                                                                                                                                                                    Qual foi o curso mais elevado que ... frequentou anteriormente?
211       2.0      V3009A                                                                                                                                                                    Qual foi o curso mais elevado que ... frequentou anteriormente?
227       1.0       V3010                                                                                                                                                                     A duração deste curso que ... frequentou anteriormente era de:
230       1.0       V3011                                                                                                                                                                           Este curso que ... frequentou anteriormente era seriado?
233       1.0      V3011A                                                                                                                                                                                  Esse curso que .... frequentou era organizado em:
237       1.0       V3012                                                                                                                                  ... concluiu com aprovação, pelo menos a primeira série deste curso que frequentou anteriormente?
241       2.0       V3013                                                                                                                      Qual foi o último ano/série/semestre que ... concluiu com aprovação, neste curso que frequentou anteriormente
254       1.0      V3013A                                                                                                                                                                         Qual foi a etapa de ensino fundamental que ... frequentou?
257       1.0      V3013B                                                                                                                                                            ... Concluiu os anos iniciais deste curso que frequentou anteriormente?
260       1.0       V3014                                                                                                                                                                               ... concluiu este curso que frequentou anteriormente
264       1.0       V4001                                                                                   Na semana de ... a ... (semana de referência), ... trabalhou ou estagiou, durante pelo menos 1 hora, em alguma atividade remunerada em dinheiro?
267       1.0       V4002                                          Na semana de ... a ... (semana de referência), ... trabalhou ou estagiou, durante pelo menos 1 hora, em alguma atividade remunerada em produtos, mercadorias, moradia, alimentação, etc.?
270       1.0       V4003                                                                               Na semana de ... a ... (semana de referência), ... fez algum bico ou trabalhou em alguma atividade ocasional remunerada durante pelo menos 1 hora?  
273       1.0       V4004                                                    Na semana de ... a ... (semana de referência), ... ajudou durante pelo menos 1 hora, sem receber pagamento, no trabalho remunerado de algum morador do domicílio ou de parente?
276       1.0       V4005                                                                                                        Na semana de ... a ... (semana de referência), ... tinha algum trabalho remunerado do qual estava temporariamente afastado?
279       1.0       V4006                                                                                                                                 Na semana de ... a .... (semana de referência), por que motivo ... estava afastado desse trabalho?
288       1.0      V4006A                                                                                                                                 Na semana de ... a .... (semana de referência), por que motivo ... estava afastado desse trabalho?
296       1.0       V4007                                                                                                                                           Durante o tempo de afastamento, ... continuou a receber ao menos uma parte do pagamento?
299       1.0       V4008                                                                                                                     Em .../.../...(último dia da semana de referência), fazia quanto tempo que ... estava afastado desse trabalho?
304       2.0      V40081                                                                                                                                                                             Tempo que estava afastado (De 1 mês a menos de 1 ano) 
306       2.0      V40082                                                                                                                                                                            Tempo que estava afastado (De 1 ano a menos de 2 anos) 
308       2.0      V40083                                                                                                                                                                                  Tempo que estava afastado (de 02 anos a 98 anos) 
311       1.0       V4009                                                                                                                                                         Quantos trabalhos ... tinha na semana de ... a ... (semana de referência ?
315       4.0       V4010                                                                                                                                                                                               Código da ocupação (cargo ou função)
317       1.0       V4012                                                                                                                                                                                                          Nesse trabalho, ... era: 
325       1.0      V40121                                                                                                                                                                                                         Trabalhador não remunerado
329       5.0       V4013                                                                                                                                                                               Código da principal atividade desse negócio/empresa 
331       1.0      V40132                                                                                                                                                                                                         Qual a seção da atividade?
334       1.0     V40132A                                                                                                                                                                                                         Qual a seção da atividade?
337       1.0       V4014                                                                                                                                                                                                         Esse trabalho era na área:
341       1.0       V4015                                                                 Na semana de ... a ... (semana de referência), ... teve ajuda, nesse trabalho, de pelo menos um trabalhador não remunerado que era membro do domicílio ou parente?
344       1.0      V40151                                                                                                                                                                                            Quantos trabalhadores não remunerados ?
348       1.0     V401511                                                                                                                                                                                                1 a 5 trabalhadores não remunerados
350       2.0     V401512                                                                                                                                                                                               6 a 10 trabalhadores não remunerados
352       1.0       V4016                                                                                                                Na semana de ... a ... (semana de referência), quantos empregados trabalhavam nesse negócio/empresa que ... tinha ?
357       1.0      V40161                                                                                                                                                                                                                   1 a 5 empregados
359       2.0      V40162                                                                                                                                                                                                                  6 a 10 empregados
361       2.0      V40163                                                                                                                                                                                                                 11 a 50 empregados
363       1.0       V4017                                                                                                               Na semana de ... a ... (semana de  referência), ... tinha pelo menos um sócio que trabalhava nesse negócio/empresa ?
366       1.0      V40171                                                                                                                                                                                                                           Quantos?
369       1.0     V401711                                                                                                                                                                                                                       1 a 5 sócios
371       1.0       V4018                                                                                                              Na semana de ... a ... (semana de referência), contando com ... , quantas pessoas trabalhavam nesse negócio/empresa ?
376       1.0      V40181                                                                                                                                                                                                                      1 a 5 pessoas
378       2.0      V40182                                                                                                                                                                                                                     6 a 10 pessoas
380       2.0      V40183                                                                                                                                                                                                                    11 a 50 pessoas
382       1.0       V4019                                                                                                                                                Esse negócio/empresa era registrado no Cadastro Nacional da Pessoa Jurídica - CNPJ?
385       1.0       V4020                                                                                                                                                                             Em que tipo de local funcionava esse negócio/empresa ?
389       1.0       V4021                                                                                                                                                      ... exercia normalmente o trabalho em estabelecimento desse negócio/empresa ?
392       1.0       V4022                                                                                                                                                                                 Então onde ... exercia normalmente esse trabalho ?
401       1.0       V4024                                                                                                                No período de ... a ... (período de referência de 30 dias) ... prestava serviço doméstico em mais de um domicílio ?
404       1.0       V4025                                                                                                                                                                  Nesse trabalho, ... era contratado(a) como empregado temporário ?
407       1.0       V4026                                                                                       Na semana de ... a ... (semana de referência), ... era contratado(a) somente por pessoa responsável pelo negócio/empresa em que trabalhava ?
410       1.0       V4027                                                                                       Na semana de ... a ... (semana de referência) era contratado(a) somente por intermediário (empresa empreiteira, empreiteiro, "gato", etc.) ?
413       1.0       V4028                                                                                                                                            Nesse trabalho, ... era servidor público estatutário (federal, estadual ou municipal) ?
416       1.0       V4029                                                                                                                                                                          Nesse trabalho, ... tinha carteira de trabalho assinada ?
419       1.0       V4032                                                                                                                                                                   Era contribuinte de instituto de previdência por esse trabalho ?
422       1.0       V4033                                                                                                                          Qual era o rendimento bruto mensal que ... recebia/fazia  normalmente nesse trabalho? (variável auxiliar)
424       1.0      V40331                                                                                                                                                          Recebia/fazia normalmente nesse trabalho rendimento/retirada em dinheiro?
426       1.0     V403311                                                                                                                                                                                 Número da faixa do rendimento/retirada em dinheiro
435       8.0     V403312                                                                                                                 Qual era o rendimento bruto/retirada mensal que ... recebia/fazia normalmente nesse trabalho ? (valor em dinheiro)
437       1.0      V40332                                                                                                                                           Recebia/fazia normalmente nesse trabalho rendimento/retirada em produtos e mercadorias ?
439       1.0     V403321                                                                                                                                                                   Número da faixa do rendimento/retirada em produtos e mercadorias
448       8.0     V403322                                                                                        Qual era o rendimento bruto/retirada mensal que ... recebia/fazia normalmente nesse trabalho ? (valor estimado dos produtos ou mercadorias)
450       1.0      V40333                                                                                                                                               Recebia/fazia normalmente nesse trabalho rendimento/retirada somente em benefícios ?
452       1.0     V403331                                                                                                                                                        Tipo de rendimento/retirada  em benefícios que recebia/fazia nesse trabalho
456       1.0       V4034                                                                                                                         Qual foi o rendimento bruto que ... recebeu/fez  nesse trabalho, no mês de referência? (variável auxiliar)
458       1.0      V40341                                                                                                                                                    Recebeu/fez nesse trabalho rendimento/retirada em dinheiro no mês de referência
460       1.0     V403411                                                                                                                                                                                 Número da faixa do rendimento/retirada em dinheiro
470       8.0     V403412                                                                                                                Qual foi o rendimento bruto/retirada que ... recebeu/fez nesse trabalho, no mês de referência ? (valor em dinheiro)
472       1.0      V40342                                                                                                                                     Recebeu/fez nesse trabalho no mês de referencia, rendimento/retirada em produtos e mercadorias
474       1.0     V403421                                                                                                                                                                   Número da faixa do rendimento/retirada em produtos e mercadorias
484       8.0     V403422                                                                                       Qual foi o rendimento bruto/retirada que ... recebeu/fez nesse trabalho, no mês de referência ? (valor estimado dos produtos ou mercadorias)
486       3.0       V4039                                                                                                                                                    Quantas horas ... trabalhava normalmente, por semana, nesse trabalho principal?
488       3.0      V4039C                                                                                                                                         Quantas horas ... trabalhou efetivamente na semana de referência nesse trabalho principal?
490       1.0       V4040                                                                                                                              Até o dia ... (último dia da semana de referência) fazia quanto tempo que ... estava nesse trabalho ?
495       2.0      V40401                                                                                                                                                           Fazia quanto tempo que estava nesse trabalho (de 1 mês a menos de 1 ano)
497       2.0      V40402                                                                                                                                                          Fazia quanto tempo que estava nesse trabalho (de 1 ano a menos de 2 anos)
499       2.0      V40403                                                                                                                                                                          Fazia quanto tempo estava nesse trabalho (2 anos ou mais)
501       4.0       V4041                                                                                                                                                                                               Código da ocupação (cargo ou função)
503       1.0       V4043                                                                                                                                                                                                Nesse trabalho secundário, ... era 
511       1.0      V40431                                                                                                                                                                                                Trabalhador familiar não remunerado
515       5.0       V4044                                                                                                                                                                                Código da principal atividade desse negócio/empresa
517       1.0       V4045                                                                                                                                                                                                          Esse trabalho era na área
521       1.0       V4046                                                                                                                                                Esse negócio/empresa era registrado no Cadastro Nacional da Pessoa Jurídica - CNPJ?
524       1.0       V4047                                                                                                                                    Nesse trabalho secundário era funcionário público estatutário (federal, estadual ou municipal)?
527       1.0       V4048                                                                                                                                                                     Nesse trabalho secundário tinha carteira de trabalho assinada?
530       1.0       V4049                                                                                                                                                         Era contribuinte de instituto de previdência por esse trabalho secundário?
533       1.0       V4050                                                                                                               Qual era o rendimento bruto mensal que ... recebia/fazia  normalmente nesse trabalho secundário? (variável auxiliar)
535       1.0      V40501                                                                                                                                                Recebia/fazia normalmente nesse trabalho secundário rendimento/retirada em dinheiro
537       1.0     V405011                                                                                                                                                                                 Número da faixa do rendimento/retirada em dinheiro
546       8.0     V405012                                                                                                                                           Valor em dinheiro do rendimento mensal que recebia normalmente nesse trabalho secundário
548       1.0      V40502                                                                                                                                  Recebia/fazia normalmente nesse trabalho secundário rendimento/retirada em produtos e mercadorias
550       1.0     V405021                                                                                                                                                                   Número da faixa do rendimento/retirada em produtos e mercadorias
559       8.0     V405022                                                                                                                                        Valor estimado dos produtos e mercadorias que recebia normalmente nesse trabalho secundário
561       1.0      V40503                                                                                                                                      Recebia/fazia normalmente nesse trabalho secundário rendimento/retirada somente em benefícios
563       1.0     V405031                                                                                                                                             Tipo de rendimento/retirada  em benefícios que recebia/fazia nesse trabalho secundário
567       1.0       V4051                                                                                                              Qual foi o rendimento bruto que ... recebeu/fez  nesse trabalho secundário, no mês de referência? (variável auxiliar)
569       1.0      V40511                                                                                                                                         Recebeu/fez nesse trabalho secundário rendimento/retirada em dinheiro no mês de referência
571       1.0     V405111                                                                                                                                                                                 Número da faixa do rendimento/retirada em dinheiro
581       8.0     V405112                                                                                                                                  Valor em dinheiro do rendimento mensal que recebeu nesse trabalho secundário no mês de referência
583       1.0      V40512                                                                                                                          Recebeu/fez nesse trabalho secundário no mês de referencia, rendimento/retirada em produtos e mercadorias
585       1.0     V405121                                                                                                                                                                   Número da faixa do rendimento/retirada em produtos e mercadorias
595       8.0     V405122                                                                                                                       Valor estimado dos produtos e mercadorias que recebia recebeu nesse trabalho secundário no mês de referência
597       3.0       V4056                                                                                                                                                   Quantas horas ... trabalhava normalmente, por semana, nesse trabalho secundário?
599       3.0      V4056C                                                                                                                                       Quantas horas ... trabalhou efetivamente na semana de referência nesse trabalho secundário? 
601       1.0       V4057                                                                                                                                                     Era contribuinte de instituto de previdência por esse(s) outro(s) trabalho(s)?
604       1.0       V4058                                                                                                           Qual era o rendimento bruto mensal que ... recebia/fazia  normalmente nesse(s) outro(s) trabalho(s)? (variável auxiliar)
606       1.0      V40581                                                                                                                                           Recebia/fazia normalmente nesse(s) outro(s) trabalho(s)  rendimento/retirada em dinheiro
608       1.0     V405811                                                                                                                                                                                 Número da faixa do rendimento/retirada em dinheiro
617       8.0     V405812                                                                                                                                      Valor em dinheiro do rendimento mensal que recebia normalmente nesse(s) outro(s) trabalho(s) 
619       1.0      V40582                                                                                                                             Recebia/fazia normalmente nesse(s) outro(s) trabalho(s)  rendimento/retirada em produtos e mercadorias
621       1.0     V405821                                                                                                                                                                   Número da faixa do rendimento/retirada em produtos e mercadorias
630       8.0     V405822                                                                                                                                    Valor estimado do produtos e mercadorias que recebia normalmente nesse(s) outro(s) trabalho(s) 
